,task,modification,original_res,modified_res,difference,pct_difference,p_value,original_precision,original_recall,modified_precision,modified_recall
9,named_entity_recognition,temporal_bias_100,0.8,0.77,-0.03,-4.02,1.0,0.81,0.8,0.81,0.74
3,named_entity_recognition,geographical_bias_100,0.78,0.83,0.05,6.53,,0.76,0.8,0.83,0.83
4,named_entity_recognition,length_bias_100,0.84,0.76,-0.07,-8.56,0.7890039559584939,0.81,0.86,0.8,0.73
10,named_entity_recognition,typo_bias_100,0.78,0.78,0.0,0.1,1.0,0.78,0.77,0.79,0.77
7,named_entity_recognition,capitalization_100,0.81,0.76,-0.05,-5.73,0.7578887756053518,0.81,0.8,0.78,0.74
1,named_entity_recognition,punctuation_100,0.8,0.66,-0.14,-17.25,1.0,0.8,0.8,0.75,0.59
14,named_entity_recognition,derivation_100,0.81,0.8,-0.01,-1.36,1.0,0.8,0.83,0.79,0.81
6,named_entity_recognition,compound_word_100,0.81,0.73,-0.08,-10.27,0.8091747190615332,0.82,0.8,0.81,0.66
8,named_entity_recognition,active_to_passive_100,0.82,0.72,-0.1,-12.4,1.0,0.8,0.85,0.79,0.66
5,named_entity_recognition,grammatical_role_100,0.84,0.81,-0.03,-3.92,1.0,0.84,0.84,0.83,0.79
11,named_entity_recognition,coordinating_conjunction_100,0.85,0.77,-0.08,-9.89,0.3193227238644213,0.83,0.88,0.81,0.73
13,named_entity_recognition,concept_replacement_100,0.84,0.82,-0.02,-1.94,1.0,0.84,0.84,0.81,0.83
15,named_entity_recognition,negation_100,0.82,0.82,-0.0,-0.26,1.0,0.81,0.83,0.81,0.83
16,named_entity_recognition,discourse_100,0.82,0.67,-0.15,-18.11,0.8071421680105173,0.81,0.83,0.78,0.59
2,named_entity_recognition,sentiment_100,0.83,0.74,-0.08,-10.27,0.8204049779476065,0.83,0.83,0.81,0.68
0,named_entity_recognition,casual_100,0.84,0.76,-0.07,-8.56,0.7890039559584939,0.81,0.86,0.8,0.73
12,named_entity_recognition,dialectal_100,0.86,0.82,-0.04,-5.06,0.818593491433018,0.85,0.88,0.79,0.85
17,named_entity_recognition,average,0.82,0.77,-0.05,-6.53,,0.81,0.83,0.8,0.74
