file,accuracy (ori),accuracy (ood)
casual_100,0.57,0.57
discourse_100,0.5714285714285714,0.4642857142857143
compound_word_100,0.5,0.6145833333333334
temporal_bias_100,0.55,0.58
coordinating_conjunction_100,0.5257731958762887,0.6185567010309279
capitalization_100,0.5897435897435898,0.5128205128205128
dialectal_100,0.5568181818181818,0.5113636363636364
sentiment_100,0.6162790697674418,0.5465116279069767
grammatical_role_100,0.5365853658536586,0.5365853658536586
length_bias_100,0.5681818181818182,0.5454545454545454
concept_replacement_100,0.6233766233766234,0.5454545454545454
typo_bias_100,0.5735294117647058,0.5147058823529411
geographical_bias_100,0.5897435897435898,0.5641025641025641
punctuation_100,0.5517241379310345,0.6091954022988506
derivation_100,0.54,0.56
active_to_passive_100,0.5157894736842106,0.5894736842105263
negation_100,0.5609756097560976,0.5975609756097561
