file,accuracy (ori),accuracy (ood)
casual_100,0.94,0.86
discourse_100,0.9540229885057471,0.9310344827586207
compound_word_100,0.94,0.95
temporal_bias_100,0.89,0.88
coordinating_conjunction_100,0.92,0.88
capitalization_100,0.95,0.725
dialectal_100,0.92,0.87
sentiment_100,0.89,0.94
grammatical_role_100,0.9305555555555556,0.9444444444444444
length_bias_100,0.93,0.86
concept_replacement_100,0.9393939393939394,0.898989898989899
typo_bias_100,0.9156626506024096,0.6867469879518072
geographical_bias_100,0.8901098901098901,0.8131868131868132
punctuation_100,0.9666666666666667,0.6222222222222222
derivation_100,0.9074074074074074,0.9444444444444444
active_to_passive_100,0.9,0.83
negation_100,0.9368421052631579,0.8842105263157894
