file,accuracy (ori),accuracy (ood)
casual_100,0.92,0.88
discourse_100,0.9540229885057471,0.9310344827586207
compound_word_100,0.93,0.95
temporal_bias_100,0.86,0.9
coordinating_conjunction_100,0.91,0.92
capitalization_100,0.95,0.6875
dialectal_100,0.92,0.89
sentiment_100,0.92,0.92
grammatical_role_100,0.9027777777777778,0.9027777777777778
length_bias_100,0.91,0.9
concept_replacement_100,0.9393939393939394,0.9393939393939394
typo_bias_100,0.9156626506024096,0.6626506024096386
geographical_bias_100,0.9010989010989011,0.8351648351648352
punctuation_100,0.9555555555555556,0.6555555555555556
derivation_100,0.9444444444444444,0.9444444444444444
active_to_passive_100,0.91,0.87
negation_100,0.9473684210526315,0.9368421052631579
